date,product_id,product_name,category,business_type,unit_of_measure,opening_stock,units_sold,shrinkage_units,units_restocked,closing_stock,unit_cost_kes,selling_price_kes,supplier_name,supplier_county,supplier_lead_days,reorder_level,is_holiday,is_weekend
2024-06-01,PRD010,Amoxicillin 250mg x6,Antibiotics,Pharmacy,Strips,,4.0,1,0,71,55,90.0,Cosmos Pharmaceuticals,NAIROBI,3,40,0,1
14/10/2024,PRD016,Maize Seed 2kg,Seeds,Agrovet,PACK,53.0,16.0,0,12,49,380,15524.424560611316,   ,Nakurru,5,15,0,0
2024-01-26,PRD008,Royco Mchuzi Mix 75g,Seasonings,Mini Supermarket,Pack,52.0,30.0,2,0,20,42,,Unilever Kenya,nairobi,3,35,0,0
2024-03-13,PRD017,Newcastle Vaccine 100dos,Veterinary,Agrovet,VIAL,15.0,11.0,3,0,1,250,400.0,Interchemie Kenya,Nairob,4,10,0,0
2025-06-13,PRD008,  Royco Mchuzi Mix 75g  ,Seasonings,Mini Supermarket,Pack,48.0,5.0,3,0,40,42,55.0,Unilever Kenya,nairobi,3,35,0,0
2024-09-16,PRD013,Malaria RDT Kit,Diagnostics,Pharamcy,PCS,,37.0,2,0,72,120,200.0,   ,Nairobi ,4,25,0,0
2024-09-18,PRD007,Omo Washing Powder 1kg,Detergents,MINI SUPERMARKET,pack,,7.0,1,0,84,295,398.25,Bidco Africa Mombasa Rd,Nairob,3,12,0,0
2025-01-10,PRD003,Brookside Milk 500ml,Dairy,Mini Supermarket,piece,74.0,-27.0,3,0,44,55,,Brookside Dairy Ltd,Kiambu ,2,40,0,0
2024-04-24,PRD013,Malaria RDT Kit,Diagnostics,Pharmacy,PCS,7.0,,0,0,0,120,200.0,Medipharm Ltd,NAIROBI ,4,25,0,0
2025-09-01,PRD007,Omo Washing Powder 1kg,Detergents,Mini Supermarket,pack,59.0,1.0,0,0,75,295,398.25,Bidco Africa Mombasa Rd,nairob,3,12,0,0
2024-01-31,PRD017,Newcastle Vaccine 100dos,Veterinary,Agrovet,VIAL,,40.0,3,0,17,250,400.0,,Nairob,4,10,0,0
2024-11-23,PRD014,DAP Fertiliser 50kg,Fertilisers,Agrovet,bag,106.0,0.0,3,0,103,3800,4500.0,MEA Fertilisers,Nairob,7,5,0,1
2024-02-24,PRD011,  ORS Sachets x6  ,Rehydration,Pharmacy,Pack,75.0,6.0,0,0,69,35,60.0,Dawa Ltd,nairobi,2,50,0,1
2025-03-06,PRD009,Paracetamol 500mg x10,Analgesics,Pharmacy,Strips,47.0,26.0,1,0,20,18,30.0,Shelys Pharmaceuticals,Nairobi ,2,60,0,0
2024-08-06,PRD002,Pembe Unga 1kg,Flour & Grains,Mini Supermarket,bag,,21.0,3,0,54,78,95.0,Unga Ltd Nairobi,NAIROBI,3,25,0,0
2024-06-09,PRD013,Malaria RDT Kit,diagnostics,Pharmacy,PCS,77.0,40.0,0,0,37,120,200.0,Medipharm Ltd,Nairobi ,4,25,0,1
2024-04-16,PRD019,Infinix Charger 33W,Accessories,Electronics,PCS,78.0,23.0,0,0,55,380,650.0,Luthuli Ave Wholesale,NAIROBI,2,10,0,0
2025-07-10,PRD019,Infinix Charger 33W,Accessories,Electronics,PCS,72.0,16.0,3,18,71,380,650.0,Luthuli Ave Wholesale,,2,10,0,0
2026-01-07,PRD011,ORS Sachets x6,Rehydration,Pharmacy,Pack,111.0,38.0,1,0,72,35,60.0,   ,nairobi,2,50,0,0
13/11/2025,PRD009,Paracetamol 500mg x10,Analgesics,Pharmacy,Strips,47.0,1.0,0,0,60,18,30.0,Shelys Pharmaceuticals,Nairobi ,2,60,0,0
2024-08-19,PRD004,KCC Butter 250g,Dairy,Mini Supermarket,piece,19.0,2.0,1,0,16,210,260.0,Brookside Dairy Ltd,kiambu,2,15,0,0
2024-09-15,PRD019,  Infinix Charger 33W  ,Accessories,Electronics,Pcs,,5.0,3,0,110,380,650.0,Luthuli Ave Wholesale,NAIROBI,2,10,0,1
2025-06-03,PRD019,Infinix Charger 33W,Accessories,Electronics,PCS,6.0,5.0,0,0,1,380,650.0,Luthuli Ave Wholesale,NAIROBI,2,10,0,0
12/06/2024,PRD002,Pembe Unga 1kg,flour & grains,Mini Supermarket,BAG,117.0,34.0,3,0,80,78,2836.192948573221,Unga Ltd Nairobi,NAIROBI,3,25,0,0
2025-01-08,PRD006,Salit Sugar 1kg,Sugar & Spices,Mini Supermarket,Bag ,111.0,8.0,3,0,100,135,160.0,Mumias Sugar Distributor,Kisumu,5,30,0,0
2024-04-09,PRD017,Newcastle Vaccine 100dos,Veterinary,AGROVET,VIAL,67.0,20.0,0,0,47,250,400.0,Interchemie Kenya,NAIROB,4,10,0,0
2025-08-05,PRD004,KCC Butter 250g,Dairy,Mini Supermarket,piece,78.0,0.0,1,0,77,210,260.0,Brookside Dairy Ltd,kiambu,2,15,0,0
"May 13, 2025",PRD020,Earphones Generic,Accessories,ELECTRONICS,PCS,29.0,20.0,3,27,33,150,300.0,,NAIROBI,2,12,0,0
2025-01-16,PRD011,ORS Sachets x6,Rehydration,Pharmacy,Pack,84.0,6.0,3,0,75,35,60.0,Dawa Ltd,Nairobi,2,50,0,0
2024-09-08,PRD007,Omo Washing Powder 1kg,Detergents,Mini Supermarket,pack,27.0,17.0,2,0,8,295,398.25,Bidco Africa Mombasa Rd,Nairob,3,12,0,1
2025-02-14,PRD019,Infinix Charger 33W,Accessories,Electronics,Pcs,,7.0,0,69,128,380,650.0,Luthuli Ave Wholesale,NAIROBI,2,10,0,0
2025-11-12,PRD018,Drenching Gun Dewormer,Veterinary,Agrovet,Bottle,7.0,-7.0,3,0,0,480,650.0,Interchemie Kenya,Nairobi,4,8,0,0
2025-10-27,PRD015,CAN Fertiliser 50kg,Fertilisers,Agrovet,BAG,75.0,9.0,0,0,66,3200,3900.0,MEA Fertilisers,Nairobi,7,5,0,0
2024-09-15,PRD008,Royco Mchuzi Mix 75g,Seasonings,Mini Supermarket,Pack,59.0,2.0,1,17,73,42,,,nairobi,3,35,1,1
2026-02-21,PRD010,Amoxicillin 250mg x6,Antibiotics,Pharmacy,Strips,102.0,19.0,2,0,81,55,90.0,Cosmos Pharmaceuticals,NAIROBI,3,40,0,1
2024-03-10,PRD009,Paracetamol 500mg x10,Analgesics,pharmacy,Strips,71.0,29.0,1,0,41,18,30.0,Shelys Pharmaceuticals,Nairobi ,2,60,0,1
2024-09-13,PRD011,ORS Sachets x6,Rehydration,Pharmacy,Pack,11.0,4.0,3,0,4,35,60.0,Dawa Ltd,nairobi,2,50,0,0
2024-01-20,PRD011,ORS Sachets x6,Rehydration,Pharmacy,Pack,90.0,33.0,2,0,55,35,60.0,Dawa Ltd,nairobi,2,50,0,1
12-Dec-2025,PRD011,ORS Sachets x6,Rehydration,Pharmacy,PACK,110.0,5.0,3,0,102,35,60.0,Dawa Ltd,nairobi,2,50,0,0
2025-05-30,PRD002,Pembe Unga 1kg,Flour & Grains,Mini Supermarket,BAG,53.0,24.0,0,0,29,78,95.0,,NAIROBI,3,25,0,0
2024-07-07,PRD014,DAP Fertiliser 50kg,Fertilisers,Agrovett,bag,22.0,8.0,2,0,12,3800,4500.0,MEA Fertilisers,Nairob,7,5,0,1
2024-12-09,PRD017,Newcastle Vaccine 100dos,Veterinary,Agrovet,VIAL,114.0,5.0,2,0,107,250,400.0,Interchemie Kenya,Nairob,4,10,0,0
2025-12-27,PRD003,Brookside Milk 500ml,Dairy,Mini Supermarket,piece,30.0,18.0,1,0,11,55,70.0,Brookside Dairy Ltd,Kiambu ,2,40,0,1
2024-06-10,PRD006,Salit Sugar 1kg,Sugar & Spices,Mini Supermarket,Bag ,73.0,32.0,0,16,57,135,160.0,Mumias Sugar Distributor,Kisumu,5,30,0,0
2024-03-12,PRD004,KCC Butter 250g,Dairy,Mini Supermarket,piece,106.0,17.0,2,69,156,210,260.0,Brookside Dairy Ltd,kiambu,2,15,0,0
2026-03-24,PRD006,Salit Sugar 1kg,sugar & spices,Mini Supermarket,Bag ,57.0,1.0,2,0,54,135,160.0,Mumias Sugar Distributor,Kisumu,5,30,0,0
2025-06-04,PRD015,CAN Fertiliser 50kg,Fertilisers,Agrovet,BAG,64.0,20.0,3,0,41,3200,3900.0,MEA Fertilisers,NAIROBI,7,5,0,0
2025-11-17,PRD005,Elianto Cooking Oil 1L,oils & fats,Mini Supermarket,btl,,3.0,2,0,16,230,280.0,Kapa Oil Refineries,Nairobi,4,20,0,0
2026-02-15,PRD015,CAN Fertiliser 50kg,Fertilisers,Agrovet,BAG,6.0,6.0,2,1,0,3200,3900.0,MEA Fertilisers,NAIROBI,7,5,0,1
2025-05-25,PRD012,Dettol Antiseptic 100ml,Antiseptics,Pharmacy,Bottle,58.0,29.0,3,0,26,145,200.0,,NAIROBI,3,20,0,1
2025-01-28,PRD013,  Malaria RDT Kit  ,Diagnostics,pharmacy,PCS,98.0,40.0,0,52,110,120,200.0,Medipharm Ltd,Nairobi ,4,25,0,0
2024-12-14,PRD006,Salit Sugar 1kg,Sugar & Spices,Mini Supermarkt,Bag ,34.0,7.0,1,0,26,135,160.0,Mumias Sugar Distributor,Kisumu,5,30,0,1
2024-05-26,PRD003,  Brookside Milk 500ml  ,Dairy,Mini Supermarket,piece,95.0,11.0,2,0,82,55,,Brookside Dairy Ltd,Kiambu ,2,40,0,1
2025-04-11,PRD014,DAP Fertiliser 50kg,fertilisers,Agrovet ,bag,87.0,19.0,2,0,66,3800,4500.0,MEA Fertilisers,Nairob,7,5,0,0
2025-05-19,PRD019,Infinix Charger 33W,Accessories,Electronics,PCS,67.0,16.0,0,0,51,380,650.0,Luthuli Ave Wholesale,NAIROBI,2,10,0,0
2025-05-30,PRD015,CAN Fertiliser 50kg,Fertilisers,Agrovet,BAG,7.0,4.0,3,60,60,3200,3900.0,MEA Fertilisers,NAIROBI,7,5,0,0
2025-09-13,PRD001,Unga Jogoo 2kg,Flour & Grains,Mini Supermarket,bag,23.0,14.0,3,0,6,145,175.0,Unga Ltd Nairobi,Nairobi ,3,30,0,1
2025-11-15,PRD005,Elianto Cooking Oil 1L,Oils & Fats,Mini Supermarket,btl,7.0,3.0,1,11,3,230,280.0,Kapa Oil Refineries,Nairobi,4,20,0,1
2024-07-06,PRD012,Dettol Antiseptic 100ml,Antiseptics,Pharmacy,Bottle,75.0,25.0,2,0,48,145,200.0,Reckitt Kenya,NAIROBI,3,20,0,1
2024-08-08,PRD011,ORS Sachets x6,Rehydration,Pharmacy,Pack,107.0,6.0,2,0,99,35,60.0,Dawa Ltd,NAIROBI,2,50,0,0
2024-10-18,PRD009,Paracetamol 500mg x10,Analgesics,Pharmacy,Strips,119.0,28.0,0,0,91,18,30.0,Shelys Pharmaceuticals,Nairobi ,2,60,0,0
2025-06-15,PRD005,Elianto Cooking Oil 1L,Oils & Fats,Mini Supermarket,btl,25.0,3.0,0,0,22,230,280.0,Kapa Oil Refineries,nairobi,4,20,0,1
2024-08-24,PRD009,Paracetamol 500mg x10,Analgesics,Pharmacy,Strips,62.0,39.0,2,0,21,18,30.0,Shelys Pharmaceuticals,Nairobi ,2,60,0,1
2025-03-27,PRD020,Earphones Generic,Accessories,Electronics,PCS,23.0,19.0,0,0,4,150,300.0,,Nairobi,2,12,0,0
2025-02-25,PRD006,Salit Sugar 1kg,Sugar & Spices,Mini Supermarket,Bag ,14.0,2.0,3,0,9,135,160.0,Mumias Sugar Distributor,Kisumu,5,30,0,0
2024-02-18,PRD007,Omo Washing Powder 1kg,Detergents,Mini Supermarket,pack,60.0,37.0,3,0,20,295,398.25,Bidco Africa Mombasa Rd,Nairob,3,12,0,1
2025-09-20,PRD004,KCC Butter 250g,Dairy,Mini Supermarket,piece,78.0,10.0,3,0,65,210,260.0,Brookside Dairy Ltd,kiambu,2,15,0,1
2024-10-31,PRD020,Earphones Generic,Accessories,Electronics,PCS,62.0,15.0,3,54,98,150,,,NAIROBI,2,12,0,0
2024-09-06,PRD019,Infinix Charger 33W,ACCESSORIES,Electronics,PCS,48.0,12.0,3,54,87,380,650.0,Luthuli Ave Wholesale,NAIROBI,2,10,0,0
2026-01-26,PRD003,Brookside Milk 500ml,Dairy,Mini Supermarket,piece,82.0,3.0,0,0,79,55,2089.8263831592158,Brookside Dairy Ltd,Kiambu ,2,40,0,0
2024-10-17,PRD018,Drenching Gun Dewormer,Veterinary,Agrovet,Bottle,95.0,28.0,2,41,106,480,650.0,Interchemie Kenya,nairobi,4,8,0,0
"Jul 12, 2024",PRD017,Newcastle Vaccine 100dos,Veterinary,Agrovet,VIAL,93.0,,3,0,89,250,400.0,Interchemie Kenya,Nairob,4,10,0,0
2025-11-25,PRD001,  Unga Jogoo 2kg  ,Flour & Grains,Mini Supermarket,bag,107.0,,2,0,68,145,175.0,Unga Ltd Nairobi,Nairobi ,3,30,0,0
2025-12-29,PRD019,Infinix Charger 33W,Accessories,Electronics,PCS,36.0,22.0,2,0,5,380,650.0,Luthuli Ave Wholesale,NAIROBI,2,10,0,0
2026-03-28,PRD012,Dettol Antiseptic 100ml,Antiseptics,Pharmacy,Bottle,33.0,-14.0,1,0,18,145,200.0,Reckitt Kenya,NAIROBI,3,20,0,1
2025-09-20,PRD016,Maize Seed 2kg,Seeds,Agrovet,PACK,33.0,14.0,2,0,17,380,,Kenya Seed Company,Nakurru,5,15,0,1
